Employee_ID,Date,Department,Job_Role,Hours_Worked,Tasks_Completed,Performance_Score,Tasks_Per_Hour,Flagged,Year,Month
E00037,2023-02-06,Sales,Analyst,9.8,18,2.05,1.84,False,2023,2
E00038,2023-02-07,Marketing,Analyst,5.5,9,4.55,1.64,False,2023,2
E00039,2023-02-08,Sales,Manager,6.1,10,1.31,1.64,False,2023,2
E00040,2023-02-09,Engineering,Manager,9.4,10,1.3,1.06,False,2023,2
E00041,2023-02-10,Marketing,Consultant,8.8,8,1.07,0.91,False,2023,2
E00042,2023-02-11,HR,Developer,11.0,4,3.03,0.36,False,2023,2
E00043,2023-02-12,Finance,Consultant,5.5,2,1.12,0.36,False,2023,2
E00044,2023-02-13,Finance,Developer,10.1,13,3.33,1.29,False,2023,2
E00045,2023-02-14,HR,Consultant,9.8,19,2.62,1.94,False,2023,2
E00046,2023-02-15,Finance,Developer,8.5,18,3.36,2.12,False,2023,2
E00047,2023-02-16,HR,Manager,7.8,16,4.63,2.05,False,2023,2
E00048,2023-02-17,Finance,Developer,11.0,5,3.21,0.45,False,2023,2
E00049,2023-02-18,Marketing,Technician,6.7,2,3.17,0.3,False,2023,2
E00050,2023-02-19,Finance,Manager,11.7,12,4.99,1.03,False,2023,2
E00051,2023-02-20,Finance,Consultant,4.1,1,2.89,0.24,False,2023,2
E00052,2023-02-21,Finance,Technician,11.5,14,4.1,1.22,False,2023,2
E00053,2023-02-22,Finance,Developer,11.7,3,2.46,0.26,False,2023,2
E00054,2023-02-23,Sales,Developer,4.9,10,1.89,2.04,False,2023,2
E00055,2023-02-24,Marketing,Technician,12.0,20,4.09,1.67,False,2023,2
E00056,2023-02-25,Marketing,Manager,7.8,16,3.93,2.05,False,2023,2
E00057,2023-02-26,HR,Developer,5.9,7,2.16,1.19,False,2023,2
E00058,2023-02-27,Marketing,Developer,8.8,4,2.86,0.45,False,2023,2
E00059,2023-02-28,HR,Consultant,5.6,1,3.04,0.18,False,2023,2
E00060,2023-03-01,Finance,Developer,11.3,7,2.59,0.62,False,2023,3
E00061,2023-03-02,Sales,Technician,8.4,6,3.01,0.71,False,2023,3
E00062,2023-03-03,Marketing,Manager,10.2,10,3.65,0.98,False,2023,3
E00063,2023-03-04,Engineering,Manager,7.0,3,4.39,0.43,False,2023,3
E00064,2023-03-05,Marketing,Consultant,8.3,16,4.23,1.93,False,2023,3
E00065,2023-03-06,Sales,Manager,6.9,4,3.46,0.58,False,2023,3
E00066,2023-03-07,Marketing,Analyst,6.1,10,1.66,1.64,False,2023,3
E00067,2023-03-08,Finance,Consultant,8.1,13,3.06,1.6,False,2023,3
E00068,2023-03-09,HR,Developer,8.0,16,2.78,2.0,False,2023,3
E00069,2023-03-10,Finance,Analyst,4.8,16,1.72,3.33,False,2023,3
E00070,2023-03-11,Finance,Technician,11.9,9,4.79,0.76,False,2023,3
E00071,2023-03-12,Finance,Developer,7.8,3,3.64,0.38,False,2023,3
E00072,2023-03-13,Sales,Developer,10.7,18,4.87,1.68,False,2023,3
E00073,2023-03-14,Sales,Consultant,11.3,13,3.94,1.15,False,2023,3
E00074,2023-03-15,Finance,Manager,7.0,6,2.93,0.86,False,2023,3
E00075,2023-03-16,Marketing,Consultant,7.3,12,2.44,1.64,False,2023,3
E00076,2023-03-17,Finance,Technician,8.5,13,1.88,1.53,False,2023,3
E00077,2023-03-18,Sales,Consultant,5.8,12,2.95,2.07,False,2023,3
E00078,2023-03-19,Engineering,Consultant,5.2,6,1.25,1.15,False,2023,3
E00079,2023-03-20,Finance,Consultant,6.1,15,2.48,2.46,False,2023,3
E00080,2023-03-21,Finance,Analyst,11.5,2,1.17,0.17,False,2023,3
E00081,2023-03-22,Engineering,Developer,8.6,9,1.83,1.05,False,2023,3
E00082,2023-03-23,Finance,Analyst,7.3,15,4.63,2.05,False,2023,3
E00083,2023-03-24,Engineering,Analyst,5.2,15,2.45,2.88,False,2023,3
E00084,2023-03-25,Sales,Developer,6.6,9,2.88,1.36,False,2023,3
E00085,2023-03-26,Finance,Developer,7.0,8,2.82,1.14,False,2023,3
E00086,2023-03-27,Finance,Manager,10.7,9,1.19,0.84,False,2023,3
E00087,2023-03-28,Sales,Developer,8.0,19,4.92,2.38,False,2023,3
E00088,2023-03-29,Engineering,Consultant,9.2,2,2.3,0.22,False,2023,3
E00089,2023-03-30,HR,Analyst,9.5,5,3.81,0.53,False,2023,3
E00090,2023-03-31,HR,Manager,6.1,4,3.09,0.66,False,2023,3
E00091,2023-04-01,HR,Technician,10.6,3,4.32,0.28,False,2023,4
E00092,2023-04-02,Marketing,Manager,11.7,12,4.34,1.03,False,2023,4
E00093,2023-04-03,Marketing,Technician,9.1,18,2.05,1.98,False,2023,4
E00094,2023-04-04,Engineering,Manager,7.9,14,3.18,1.77,False,2023,4
E00095,2023-04-05,HR,Manager,5.3,19,1.7,3.58,False,2023,4
E00096,2023-04-06,Finance,Consultant,10.4,8,3.61,0.77,False,2023,4
E00097,2023-04-07,Sales,Technician,5.4,18,2.46,3.33,False,2023,4
E00098,2023-04-08,Engineering,Developer,9.8,2,3.61,0.2,False,2023,4
E00099,2023-04-09,Sales,Developer,7.9,13,4.34,1.65,False,2023,4
E00100,2023-04-10,Sales,Developer,11.3,17,3.07,1.5,False,2023,4
E00101,2023-04-11,HR,Analyst,8.3,14,2.51,1.69,False,2023,4
E00102,2023-04-12,Marketing,Manager,9.1,18,4.63,1.98,False,2023,4
E00103,2023-04-13,Marketing,Analyst,4.5,16,3.07,3.56,False,2023,4
E00104,2023-04-14,Engineering,Consultant,4.3,19,2.41,4.42,True,2023,4
E00105,2023-04-15,Finance,Consultant,10.8,8,4.47,0.74,False,2023,4
E00106,2023-04-16,Marketing,Technician,11.6,16,2.95,1.38,False,2023,4
E00107,2023-04-17,HR,Consultant,9.3,10,2.93,1.08,False,2023,4
E00108,2023-04-18,Engineering,Technician,10.1,3,3.42,0.3,False,2023,4
E00109,2023-04-19,Engineering,Consultant,7.3,13,3.01,1.78,False,2023,4
E00110,2023-04-20,Sales,Analyst,10.7,2,1.56,0.19,False,2023,4
E00111,2023-04-21,Sales,Developer,5.9,17,1.66,2.88,False,2023,4
E00112,2023-04-22,Finance,Analyst,9.7,19,1.31,1.96,False,2023,4
E00113,2023-04-23,Engineering,Consultant,4.1,17,3.57,4.15,True,2023,4
E00114,2023-04-24,HR,Analyst,8.0,19,1.85,2.38,False,2023,4
E00115,2023-04-25,Sales,Manager,7.0,20,1.75,2.86,False,2023,4
E00116,2023-04-26,Sales,Technician,8.9,5,2.45,0.56,False,2023,4
E00117,2023-04-27,Finance,Analyst,9.3,4,3.87,0.43,False,2023,4
E00118,2023-04-28,Marketing,Consultant,8.9,15,1.47,1.69,False,2023,4
E00119,2023-04-29,Marketing,Developer,7.9,6,1.92,0.76,False,2023,4
E00120,2023-04-30,HR,Technician,7.9,6,4.24,0.76,False,2023,4
E00121,2023-05-01,Marketing,Technician,4.1,7,3.88,1.71,False,2023,5
E00122,2023-05-02,Engineering,Technician,8.4,7,2.93,0.83,False,2023,5
E00123,2023-05-03,Marketing,Technician,4.1,5,2.92,1.22,False,2023,5
E00124,2023-05-04,Engineering,Consultant,8.2,2,1.84,0.24,False,2023,5
E00125,2023-05-05,HR,Consultant,6.2,14,1.64,2.26,False,2023,5
E00126,2023-05-06,Finance,Manager,11.8,3,4.33,0.25,False,2023,5
E00127,2023-05-07,HR,Technician,4.1,14,1.09,3.41,False,2023,5
E00128,2023-05-08,Sales,Technician,10.5,7,1.17,0.67,False,2023,5
E00129,2023-05-09,Sales,Analyst,9.4,5,3.29,0.53,False,2023,5
E00130,2023-05-10,Sales,Manager,10.4,20,1.64,1.92,False,2023,5
E00131,2023-05-11,Finance,Consultant,11.3,9,3.52,0.8,False,2023,5
E00132,2023-05-12,HR,Analyst,4.9,11,1.16,2.24,False,2023,5
E00133,2023-05-13,Sales,Analyst,4.8,3,3.29,0.62,False,2023,5
E00134,2023-05-14,Sales,Manager,5.2,3,1.22,0.58,False,2023,5
E00135,2023-05-15,HR,Technician,5.5,13,2.03,2.36,False,2023,5
E00136,2023-05-16,Engineering,Developer,8.2,18,1.72,2.2,False,2023,5
E00137,2023-05-17,HR,Developer,10.5,13,4.83,1.24,False,2023,5
E00138,2023-05-18,Marketing,Manager,8.0177,18,3.4,2.95,False,2023,5
E00139,2023-05-19,Marketing,Consultant,7.2,11,3.25,1.53,False,2023,5
E00140,2023-05-20,HR,Manager,7.0,9,1.07,1.29,False,2023,5
E00141,2023-05-21,Engineering,Consultant,7.2,17,3.88,2.36,False,2023,5
E00142,2023-05-22,Engineering,Analyst,8.5,15,3.65,1.76,False,2023,5
E00143,2023-05-23,Finance,Developer,11.9,1,2.13,0.08,False,2023,5
E00144,2023-05-24,Sales,Analyst,5.8,20,1.34,3.45,False,2023,5
E00145,2023-05-25,Engineering,Analyst,9.5,19,2.8,2.0,False,2023,5
E00146,2023-05-26,Finance,Consultant,10.8,17,4.97,1.57,False,2023,5
E00147,2023-05-27,Engineering,Consultant,9.2,14,4.47,1.52,False,2023,5
E00148,2023-05-28,Marketing,Developer,10.9,4,1.68,0.37,False,2023,5
E00149,2023-05-29,Finance,Manager,10.1,14,4.32,1.39,False,2023,5
E00150,2023-05-30,Finance,Manager,4.7,5,3.4,1.06,False,2023,5
E00151,2023-05-31,Sales,Manager,7.0,5,4.18,0.71,False,2023,5
E00152,2023-06-01,Marketing,Consultant,8.4,19,4.28,2.26,False,2023,6
E00153,2023-06-02,Engineering,Consultant,4.4,19,1.73,4.32,True,2023,6
E00154,2023-06-03,Engineering,Analyst,4.1,19,3.64,4.63,True,2023,6
E00155,2023-06-04,HR,Consultant,5.4,4,2.06,0.74,False,2023,6
E00156,2023-06-05,Finance,Developer,8.0,4,3.9,0.5,False,2023,6
E00157,2023-06-06,Finance,Developer,7.5,19,2.37,2.53,False,2023,6
E00158,2023-06-07,Engineering,Analyst,10.3,4,2.81,0.39,False,2023,6
E00159,2023-06-08,Finance,Consultant,8.5,10,3.36,1.18,False,2023,6
E00160,2023-06-09,Finance,Manager,10.9,18,1.92,1.65,False,2023,6
E00161,2023-06-10,HR,Developer,4.8,12,2.54,2.5,False,2023,6
E00162,2023-06-11,Marketing,Analyst,8.2,14,1.43,1.71,False,2023,6
E00163,2023-06-12,Finance,Consultant,4.3,9,1.81,2.09,False,2023,6
E00164,2023-06-13,Sales,Developer,5.7,13,4.44,2.28,False,2023,6
E00165,2023-06-14,Sales,Consultant,10.9,16,3.02,1.47,False,2023,6
E00166,2023-06-15,HR,Manager,11.1,19,2.68,1.71,False,2023,6
E00167,2023-06-16,Finance,Analyst,7.8,20,1.6,2.56,False,2023,6
E00168,2023-06-17,Marketing,Developer,4.4,16,1.39,3.64,False,2023,6
E00169,2023-06-18,Finance,Manager,4.6,2,2.9,0.43,False,2023,6
E00170,2023-06-19,HR,Analyst,11.4,6,3.46,0.53,False,2023,6
E00171,2023-06-20,Sales,Analyst,11.2,9,1.16,0.8,False,2023,6
E00172,2023-06-21,Engineering,Manager,8.5,13,4.14,1.53,False,2023,6
E00173,2023-06-22,Engineering,Analyst,4.3,5,3.01,1.16,False,2023,6
E00174,2023-06-23,Marketing,Analyst,11.4,20,1.47,1.75,False,2023,6
E00175,2023-06-24,Sales,Manager,6.5,20,2.93,3.08,False,2023,6
E00176,2023-06-25,HR,Consultant,11.7,13,1.52,1.11,False,2023,6
E00177,2023-06-26,HR,Manager,8.7,2,3.41,0.23,False,2023,6
E00178,2023-06-27,Engineering,Analyst,10.0,13,4.31,1.3,False,2023,6
E00179,2023-06-28,Engineering,Consultant,9.7,11,4.59,1.13,False,2023,6
E00180,2023-06-29,Engineering,Developer,7.2,8,4.1,1.11,False,2023,6
E00181,2023-06-30,Marketing,Technician,4.6,2,3.6,0.43,False,2023,6
E00182,2023-07-01,Marketing,Technician,5.3,16,3.09,3.02,False,2023,7
E00183,2023-07-02,Sales,Manager,5.9,9,2.48,1.53,False,2023,7
E00184,2023-07-03,HR,Technician,10.7,12,1.17,1.12,False,2023,7
E00185,2023-07-04,Engineering,Manager,7.1,1,3.12,0.14,False,2023,7
E00186,2023-07-05,Finance,Manager,11.2,11,1.92,0.98,False,2023,7
E00187,2023-07-06,Sales,Technician,6.7,10,4.21,1.49,False,2023,7
E00188,2023-07-07,Finance,Technician,10.0,10,4.16,1.0,False,2023,7
E00189,2023-07-08,HR,Developer,8.0177,9,2.52,1.76,False,2023,7
E00190,2023-07-09,Engineering,Developer,11.9,16,3.36,1.34,False,2023,7
E00191,2023-07-10,Engineering,Consultant,9.8,4,3.97,0.41,False,2023,7
E00192,2023-07-11,Finance,Developer,8.0,8,4.05,1.0,False,2023,7
E00193,2023-07-12,Finance,Manager,11.8,5,3.79,0.42,False,2023,7
E00194,2023-07-13,Sales,Manager,4.4,10,1.39,2.27,False,2023,7
E00195,2023-07-14,Engineering,Analyst,7.5,15,1.54,2.0,False,2023,7
E00196,2023-07-15,Sales,Technician,10.7,11,2.91,1.03,False,2023,7
E00197,2023-07-16,Engineering,Consultant,6.7,9,1.93,1.34,False,2023,7
E00198,2023-07-17,HR,Technician,10.2,14,4.44,1.37,False,2023,7
E00199,2023-07-18,Sales,Technician,11.6,20,2.13,1.72,False,2023,7
E00200,2023-07-19,Sales,Manager,7.2,3,4.51,0.42,False,2023,7
E00201,2023-07-20,Sales,Technician,10.2,7,2.63,0.69,False,2023,7
E00202,2023-07-21,Sales,Analyst,4.2,15,1.76,3.57,False,2023,7
E00203,2023-07-22,Sales,Developer,6.2,7,3.84,1.13,False,2023,7
E00204,2023-07-23,HR,Developer,11.9,14,4.16,1.18,False,2023,7
E00205,2023-07-24,Engineering,Analyst,7.9,16,3.31,2.03,False,2023,7
E00206,2023-07-25,Finance,Analyst,6.8,17,1.47,2.5,False,2023,7
E00207,2023-07-26,Engineering,Analyst,11.5,12,1.03,1.04,False,2023,7
E00208,2023-07-27,HR,Analyst,7.5,2,3.62,0.27,False,2023,7
E00209,2023-07-28,Finance,Manager,9.4,17,3.75,1.81,False,2023,7
E00210,2023-07-29,Sales,Developer,9.3,6,2.26,0.65,False,2023,7
E00211,2023-07-30,Finance,Manager,4.7,3,2.45,0.64,False,2023,7
E00212,2023-07-31,Marketing,Developer,8.9,10,1.62,1.12,False,2023,7
E00213,2023-08-01,Engineering,Technician,10.4,17,3.61,1.63,False,2023,8
E00214,2023-08-02,Engineering,Analyst,9.7,13,2.01,1.34,False,2023,8
E00215,2023-08-03,Sales,Consultant,4.7,5,4.42,1.06,False,2023,8
E00216,2023-08-04,Sales,Technician,5.2,17,2.69,3.27,False,2023,8
E00217,2023-08-05,Engineering,Technician,9.7,19,2.46,1.96,False,2023,8
E00218,2023-08-06,Marketing,Analyst,9.1,1,2.1,0.11,False,2023,8
E00219,2023-08-07,HR,Manager,9.9,6,3.72,0.61,False,2023,8
E00220,2023-08-08,Finance,Manager,6.5,7,4.02,1.08,False,2023,8
E00221,2023-08-09,Sales,Consultant,4.9,7,2.65,1.43,False,2023,8
E00222,2023-08-10,Engineering,Consultant,4.0,2,4.14,0.5,False,2023,8
E00223,2023-08-11,Engineering,Consultant,6.5,8,2.93,1.23,False,2023,8
E00224,2023-08-12,Marketing,Manager,6.9,2,2.48,0.29,False,2023,8
E00225,2023-08-13,HR,Consultant,6.2,15,3.22,2.42,False,2023,8
E00226,2023-08-14,Engineering,Developer,5.1,2,2.02,0.39,False,2023,8
E00227,2023-08-15,Engineering,Consultant,5.5,12,2.23,2.18,False,2023,8
E00228,2023-08-16,Sales,Consultant,7.6,7,2.38,0.92,False,2023,8
E00229,2023-08-17,HR,Developer,8.4,9,3.82,1.07,False,2023,8
E00230,2023-08-18,Sales,Technician,7.3,12,3.94,1.64,False,2023,8
E00231,2023-08-19,HR,Developer,4.2,15,4.42,3.57,False,2023,8
E00232,2023-08-20,HR,Consultant,6.8,17,3.64,2.5,False,2023,8
E00233,2023-08-21,Engineering,Consultant,4.7,13,3.99,2.77,False,2023,8
E00234,2023-08-22,Marketing,Technician,8.8,4,2.79,0.45,False,2023,8
E00235,2023-08-23,Finance,Consultant,6.6,1,3.8,0.15,False,2023,8
E00236,2023-08-24,HR,Manager,7.1,8,1.65,1.13,False,2023,8
E00237,2023-08-25,Sales,Manager,6.3,12,1.86,1.9,False,2023,8
E00238,2023-08-26,Finance,Developer,7.1,16,2.6,2.25,False,2023,8
E00239,2023-08-27,Engineering,Analyst,4.7,20,2.35,4.26,True,2023,8
E00240,2023-08-28,Marketing,Analyst,11.2,15,3.2,1.34,False,2023,8
E00241,2023-08-29,Engineering,Manager,11.2,6,3.79,0.54,False,2023,8
E00242,2023-08-30,Engineering,Developer,11.8,16,3.83,1.36,False,2023,8
E00243,2023-08-31,Engineering,Analyst,8.6,19,1.64,2.21,False,2023,8
E00244,2023-09-01,Sales,Developer,5.4,18,4.86,3.33,False,2023,9
E00245,2023-09-02,Finance,Manager,7.0,12,1.02,1.71,False,2023,9
E00246,2023-09-03,Marketing,Technician,5.1,12,1.36,2.35,False,2023,9
E00247,2023-09-04,Finance,Manager,6.4,6,1.58,0.94,False,2023,9
E00248,2023-09-05,Finance,Technician,7.9,9,4.7,1.14,False,2023,9
E00249,2023-09-06,Marketing,Technician,4.5,3,2.74,0.67,False,2023,9
E00250,2023-09-07,Finance,Consultant,7.5,10,1.26,1.33,False,2023,9
E00251,2023-09-08,Finance,Developer,7.4,1,1.89,0.14,False,2023,9
E00252,2023-09-09,Marketing,Developer,7.9,13,1.32,1.65,False,2023,9
E00253,2023-09-10,HR,Developer,4.6,2,1.15,0.43,False,2023,9
E00254,2023-09-11,Engineering,Consultant,6.0,6,2.54,1.0,False,2023,9
E00255,2023-09-12,Sales,Technician,6.0,19,4.94,3.17,False,2023,9
E00256,2023-09-13,Sales,Developer,9.0,7,3.46,0.78,False,2023,9
E00257,2023-09-14,HR,Technician,8.8,8,3.08,0.91,False,2023,9
E00258,2023-09-15,Finance,Consultant,5.6,8,3.85,1.43,False,2023,9
E00259,2023-09-16,Finance,Analyst,4.9,7,3.39,1.43,False,2023,9
E00260,2023-09-17,Sales,Developer,6.4,9,4.78,1.41,False,2023,9
E00261,2023-09-18,Sales,Manager,11.6,14,4.28,1.21,False,2023,9
E00262,2023-09-19,Sales,Manager,6.7,17,3.56,2.54,False,2023,9
E00263,2023-09-20,Finance,Manager,9.0,1,2.76,0.11,False,2023,9
E00264,2023-09-21,HR,Technician,10.4,1,1.81,0.1,False,2023,9
E00265,2023-09-22,Sales,Analyst,6.6,16,3.63,2.42,False,2023,9
E00266,2023-09-23,Marketing,Consultant,6.7,5,4.22,0.75,False,2023,9
E00267,2023-09-24,Marketing,Developer,10.5,6,2.14,0.57,False,2023,9
E00268,2023-09-25,Sales,Manager,10.9,20,1.13,1.83,False,2023,9
E00269,2023-09-26,Marketing,Analyst,11.8,1,3.4,0.08,False,2023,9
E00270,2023-09-27,HR,Developer,5.1,8,3.06,1.57,False,2023,9
E00271,2023-09-28,Sales,Developer,6.6,9,1.93,1.36,False,2023,9
E00272,2023-09-29,Finance,Developer,11.6,20,1.68,1.72,False,2023,9
E00273,2023-09-30,Marketing,Manager,5.6,10,1.14,1.79,False,2023,9
E00274,2023-10-01,Sales,Analyst,6.5,9,1.96,1.38,False,2023,10
E00275,2023-10-02,HR,Analyst,11.7,14,1.0,1.2,False,2023,10
E00276,2023-10-03,HR,Developer,11.7,13,1.63,1.11,False,2023,10
E00277,2023-10-04,HR,Analyst,6.3,12,4.99,1.9,False,2023,10
E00278,2023-10-05,Engineering,Developer,9.6,15,4.12,1.56,False,2023,10
E00279,2023-10-06,Finance,Consultant,7.9,9,2.41,1.14,False,2023,10
E00280,2023-10-07,Marketing,Consultant,8.6,7,2.58,0.81,False,2023,10
E00281,2023-10-08,Marketing,Manager,5.9,15,3.34,2.54,False,2023,10
E00282,2023-10-09,Finance,Manager,7.0,10,3.07,1.43,False,2023,10
E00283,2023-10-10,Marketing,Consultant,10.5,17,3.95,1.62,False,2023,10
E00284,2023-10-11,Finance,Analyst,7.1,20,1.27,2.82,False,2023,10
E00285,2023-10-12,Engineering,Consultant,4.9,13,1.36,2.65,False,2023,10
E00286,2023-10-13,Sales,Consultant,8.5,19,2.14,2.24,False,2023,10
E00287,2023-10-14,Sales,Technician,8.7,4,4.32,0.46,False,2023,10
E00288,2023-10-15,HR,Technician,8.4,1,4.66,0.12,False,2023,10
E00289,2023-10-16,Engineering,Analyst,9.5,17,2.39,1.79,False,2023,10
E00290,2023-10-17,Finance,Developer,8.4,12,4.85,1.43,False,2023,10
E00291,2023-10-18,HR,Manager,11.6,18,2.11,1.55,False,2023,10
E00292,2023-10-19,Marketing,Analyst,7.7,20,3.43,2.6,False,2023,10
E00293,2023-10-20,Marketing,Technician,9.7,20,1.78,2.06,False,2023,10
E00294,2023-10-21,Finance,Consultant,7.5,10,4.72,1.33,False,2023,10
E00295,2023-10-22,Marketing,Analyst,6.3,10,3.3,1.59,False,2023,10
E00296,2023-10-23,Engineering,Developer,9.5,4,2.04,0.42,False,2023,10
E00297,2023-10-24,Engineering,Technician,10.6,16,2.63,1.51,False,2023,10
E00298,2023-10-25,HR,Analyst,10.4,3,1.43,0.29,False,2023,10
E00299,2023-10-26,HR,Analyst,7.3,11,1.29,1.51,False,2023,10
E00300,2023-10-27,Sales,Consultant,8.0,9,2.18,1.12,False,2023,10
E00301,2023-10-28,Sales,Technician,9.1,11,4.79,1.21,False,2023,10
E00302,2023-10-29,Engineering,Consultant,5.9,9,4.21,1.53,False,2023,10
E00303,2023-10-30,Sales,Technician,9.3,9,4.83,0.97,False,2023,10
E00304,2023-10-31,Engineering,Consultant,9.7,10,4.5,1.03,False,2023,10
E00305,2023-11-01,HR,Consultant,10.3,7,4.25,0.68,False,2023,11
E00306,2023-11-02,HR,Developer,4.6,5,3.3,1.09,False,2023,11
E00307,2023-11-03,Finance,Consultant,11.9,17,3.78,1.43,False,2023,11
E00308,2023-11-04,Sales,Developer,7.8,8,4.86,1.03,False,2023,11
E00309,2023-11-05,Marketing,Analyst,7.2,2,3.25,0.28,False,2023,11
E00310,2023-11-06,Sales,Analyst,8.1,20,4.08,2.47,False,2023,11
E00311,2023-11-07,Sales,Manager,11.4,13,4.03,1.14,False,2023,11
E00312,2023-11-08,Finance,Analyst,9.5,11,4.84,1.16,False,2023,11
E00313,2023-11-09,Finance,Technician,8.3,5,2.84,0.6,False,2023,11
E00314,2023-11-10,HR,Developer,10.3,1,2.84,0.1,False,2023,11
E00315,2023-11-11,Marketing,Analyst,6.9,16,3.35,2.32,False,2023,11
E00316,2023-11-12,Sales,Manager,11.2,10,1.11,0.89,False,2023,11
E00317,2023-11-13,Engineering,Manager,8.3,9,1.47,1.08,False,2023,11
E00318,2023-11-14,Marketing,Technician,9.1,14,1.27,1.54,False,2023,11
E00319,2023-11-15,HR,Manager,4.7,13,3.53,2.77,False,2023,11
E00320,2023-11-16,Sales,Consultant,10.2,13,4.98,1.27,False,2023,11
E00321,2023-11-17,Sales,Technician,9.3,2,3.71,0.22,False,2023,11
E00322,2023-11-18,Sales,Technician,6.8,19,1.92,2.79,False,2023,11
E00323,2023-11-19,Sales,Manager,9.2,19,2.26,2.07,False,2023,11
E00324,2023-11-20,Sales,Analyst,4.4,7,4.82,1.59,False,2023,11
E00325,2023-11-21,HR,Consultant,11.9,11,3.07,0.92,False,2023,11
E00326,2023-11-22,Marketing,Manager,9.4,8,1.04,0.85,False,2023,11
E00327,2023-11-23,Finance,Analyst,7.2,18,4.33,2.5,False,2023,11
E00328,2023-11-24,Sales,Manager,10.0,16,1.99,1.6,False,2023,11
E00329,2023-11-25,Sales,Technician,11.7,12,1.37,1.03,False,2023,11
E00330,2023-11-26,Sales,Consultant,7.4,17,3.69,2.3,False,2023,11
E00331,2023-11-27,Sales,Technician,4.1,10,4.28,2.44,False,2023,11
E00332,2023-11-28,Finance,Manager,6.1,6,1.3,0.98,False,2023,11
E00333,2023-11-29,Marketing,Developer,8.1,18,4.73,2.22,False,2023,11
E00334,2023-11-30,HR,Developer,8.2,6,2.91,0.73,False,2023,11
E00335,2023-12-01,Sales,Consultant,8.6,10,2.41,1.16,False,2023,12
E00336,2023-12-02,Sales,Analyst,8.6,4,4.58,0.47,False,2023,12
E00337,2023-12-03,Finance,Developer,7.6,16,2.08,2.11,False,2023,12
E00338,2023-12-04,Sales,Analyst,7.1,5,4.79,0.7,False,2023,12
E00339,2023-12-05,Engineering,Consultant,10.2,9,3.73,0.88,False,2023,12
E00340,2023-12-06,Finance,Developer,8.7,18,4.64,2.07,False,2023,12
E00341,2023-12-07,Marketing,Developer,8.0,6,3.0,0.75,False,2023,12
